problem_id,participant_id,participant_decision_en,participant_certainty_en
__P1__,DR_SSH_01,edible,**Certainty**: moderately certain
__P2__,DR_SSH_01,non-edible,moderately certain
__P3__,DR_SSH_01,non-edible,moderately certain
__P1__,DR_SSH_02,non-edible,moderately certain
__P2__,DR_SSH_02,non-edible,moderately certain
__P3__,DR_SSH_02,non-edible,moderately certain
__P1__,DR_SSH_03,non-edible,moderately certain
__P2__,DR_SSH_03,non-edible,moderately certain
__P3__,DR_SSH_03,non-edible,moderately certain
__P1__,DR_SSH_04,non-edible,moderately certain
__P2__,DR_SSH_04,non-edible,moderately certain
__P3__,DR_SSH_04,non-edible,moderately certain
__P1__,DR_IT_05,non-edible,moderately certain
__P2__,DR_IT_05,non-edible,moderately certain
__P3__,DR_IT_05,non-edible,moderately certain
__P1__,DR_SSH_06,non-edible,moderately certain
__P2__,DR_SSH_06,non-edible,moderately certain
__P3__,DR_SSH_06,non-edible,moderately certain
__P1__,DR_SSH_07,non-edible,moderately certain
__P2__,DR_SSH_07,non-edible,moderately certain
__P3__,DR_SSH_07,non-edible,moderately certain
__P1__,MK_SSH_02,non-edible,moderately certain
__P2__,MK_SSH_02,non-edible,moderately certain
__P3__,MK_SSH_02,non-edible,moderately certain
__P1__,MK_IT_03,non-edible,moderately certain
__P2__,MK_IT_03,non-edible,moderately certain
__P3__,MK_IT_03,non-edible,moderately certain
__P1__,MK_SSH_04,non-edible,moderately certain
__P2__,MK_SSH_04,non-edible,moderately certain
__P3__,MK_SSH_04,non-edible,moderately certain
__P1__,MK_SSH_05,non-edible,moderately certain
__P2__,MK_SSH_05,non-edible,moderately certain
__P3__,MK_SSH_05,non-edible,moderately certain
__P1__,MK_IT_06,non-edible,moderately certain
__P2__,MK_IT_06,non-edible,moderately certain
__P3__,MK_IT_06,non-edible,moderately certain
__P1__,MK_SSH_07,non-edible,moderately certain
__P2__,MK_SSH_07,non-edible,moderately certain
__P3__,MK_SSH_07,non-edible,moderately certain
__P1__,MW_SSH_01,non-edible,moderately certain
__P2__,MW_SSH_01,non-edible,moderately certain
__P3__,MW_SSH_01,non-edible,moderately certain
__P1__,MW_IT_02,non-edible,moderately certain
__P2__,MW_IT_02,non-edible,moderately certain
__P3__,MW_IT_02,non-edible,moderately certain
__P1__,MW_SSH_03,non-edible,moderately certain
__P2__,MW_SSH_03,non-edible,moderately certain
__P3__,MW_SSH_03,non-edible,moderately certain
__P1__,MW_SSH_04,non-edible,moderately certain
__P2__,MW_SSH_04,non-edible,moderately certain
__P3__,MW_SSH_04,non-edible,moderately certain
__P1__,MW_SSH_05,non-edible,moderately certain
__P2__,MW_SSH_05,non-edible,moderately certain
__P3__,MW_SSH_05,non-edible,moderately certain
__P1__,MW_IT_06,non-edible,moderately certain
__P2__,MW_IT_06,non-edible,moderately certain
__P3__,MW_IT_06,non-edible,moderately certain
__P1__,MW_IT_07,non-edible,moderately certain
__P2__,MW_IT_07,non-edible,moderately certain
__P3__,MW_IT_07,non-edible,moderately certain
__P1__,MZ_SSH_02,non-edible,moderately certain
__P2__,MZ_SSH_02,non-edible,moderately certain
__P3__,MZ_SSH_02,non-edible,moderately certain
__P1__,MZ_SSH_03,non-edible,moderately certain
__P2__,MZ_SSH_03,non-edible,moderately certain
__P3__,MZ_SSH_03,non-edible,moderately certain
__P1__,MZ_SSH_04,non-edible,moderately certain
__P2__,MZ_SSH_04,non-edible,moderately certain
__P3__,MZ_SSH_04,non-edible,moderately certain
__P1__,MZ_IT_05,non-edible,moderately certain
__P2__,MZ_IT_05,non-edible,moderately certain
__P3__,MZ_IT_05,non-edible,moderately certain
__P1__,MZ_IT_06,non-edible,moderately certain
__P2__,MZ_IT_06,non-edible,moderately certain
__P3__,MZ_IT_06,non-edible,moderately certain
__P1__,MZ_SSH_07,non-edible,moderately certain
__P2__,MZ_SSH_07,edible,I can't assess
__P3__,MZ_SSH_07,non-edible,moderately certain
